Area,Year,InMonth,InDay,OutMonth,OutDay,preliminary
沖縄,1951,5,14,6,18,0
沖縄,1952,5,11,6,24,0
沖縄,1953,5,11,6,14,0
沖縄,1954,5,7,7,1,0
沖縄,1955,5,6,6,17,0
沖縄,1956,4,28,6,16,0
沖縄,1957,5,12,6,19,0
沖縄,1958,5,3,6,25,0
沖縄,1959,5,16,6,30,0
沖縄,1960,5,15,6,20,0
沖縄,1961,5,7,6,16,0
沖縄,1962,5,3,7,2,0
沖縄,1963,6,4,6,15,0
沖縄,1964,5,5,6,25,0
沖縄,1965,5,6,6,29,0
沖縄,1966,5,11,6,14,0
沖縄,1967,5,20,6,25,0
沖縄,1968,5,20,6,25,0
沖縄,1969,5,8,6,29,0
沖縄,1970,5,13,6,18,0
沖縄,1971,5,20,6,10,0
沖縄,1972,5,11,6,20,0
沖縄,1973,5,9,6,18,0
沖縄,1974,5,5,6,30,0
沖縄,1975,5,8,7,6,0
沖縄,1976,5,26,7,9,0
沖縄,1977,5,9,6,28,0
沖縄,1978,5,10,6,15,0
沖縄,1979,5,10,6,19,0
沖縄,1980,4,20,6,10,0
沖縄,1981,5,6,6,17,0
沖縄,1982,5,7,7,6,0
沖縄,1983,5,9,6,20,0
沖縄,1984,5,14,6,18,0
沖縄,1985,5,15,6,21,0
沖縄,1986,5,7,6,21,0
沖縄,1987,5,13,6,26,0
沖縄,1988,5,10,6,28,0
沖縄,1989,5,9,6,24,0
沖縄,1990,5,9,6,19,0
沖縄,1991,5,6,6,26,0
沖縄,1992,5,8,6,26,0
沖縄,1993,5,3,6,25,0
沖縄,1994,5,3,6,23,0
沖縄,1995,5,4,7,1,0
沖縄,1996,4,29,6,10,0
沖縄,1997,5,1,6,20,0
沖縄,1998,4,25,6,18,0
沖縄,1999,5,9,6,23,0
沖縄,2000,5,17,6,20,0
沖縄,2001,5,6,6,21,0
沖縄,2002,5,11,6,21,0
沖縄,2003,5,15,6,20,0
沖縄,2004,5,5,6,23,0
沖縄,2005,5,2,6,27,0
沖縄,2006,5,14,6,20,0
